datetime,precipitation,temperature,humidity,wind,date,pm2_5,pm10,co,no2,o3
2017-01-01T00:00:00Z,0,0.1,99.6,1.2,2017-01-01,NA,NA,NA,NA,NA
2017-01-01T01:00:00Z,0,0.5,99.6,1,2017-01-01,78,86,1.1,29.7,6.5
2017-01-01T02:00:00Z,0,-0.4,99.6,0.9,2017-01-01,78,86,1.2,26.3,7.1
2017-01-01T03:00:00Z,0,-2.4,99.6,0.8,2017-01-01,78,86,1.3,24.6,7.5
2017-01-01T04:00:00Z,0,-1.8,99.6,1.4,2017-01-01,78,86,1.2,22.9,5.7
2017-01-01T05:00:00Z,0,-1.8,99.6,1.3,2017-01-01,78,86,1.1,22.5,5.5
2017-01-01T06:00:00Z,0,-2.2,99.6,1.2,2017-01-01,78,86,1.2,22.8,6.5
2017-01-01T07:00:00Z,0,-2.5,99.6,1.3,2017-01-01,78,86,1.2,22.8,6.8
2017-01-01T08:00:00Z,0,-2.9,99.6,1,2017-01-01,78,86,1.3,20.6,7.6
2017-01-01T09:00:00Z,0,-3.7,99.6,1.5,2017-01-01,78,86,1.2,17.8,7.5
2017-01-01T10:00:00Z,0,-2.8,99.6,1.7,2017-01-01,78,86,1.2,17.8,9.9
2017-01-01T11:00:00Z,0,-1.5,99.6,2.2,2017-01-01,78,86,1.1,19.8,13.4
2017-01-01T12:00:00Z,0.2,1.1,99.5,2.1,2017-01-01,78,86,1.2,24.1,15.1
2017-01-01T13:00:00Z,0.2,3.1,99.3,2.3,2017-01-01,78,86,1.1,24.1,17.5
2017-01-01T14:00:00Z,0,3.8,98.2,2.5,2017-01-01,78,86,1.1,23,19.4
2017-01-01T15:00:00Z,0,4.2,98.2,1.9,2017-01-01,78,86,1,21.6,18.9
2017-01-01T16:00:00Z,0,3,99.4,1.6,2017-01-01,78,86,0.9,23.5,16.6
2017-01-01T17:00:00Z,0,0.6,99.6,1.3,2017-01-01,78,86,1,27.5,14
2017-01-01T18:00:00Z,0,-0.2,99.6,0.6,2017-01-01,78,86,1,33.1,8.7
2017-01-01T19:00:00Z,0,0.1,99.6,0.4,2017-01-01,78,86,1.2,29,5.3
2017-01-01T20:00:00Z,0,-0.2,99.6,0.3,2017-01-01,78,86,1.3,29.2,5.7
2017-01-01T21:00:00Z,0,-0.5,99.6,0.5,2017-01-01,78,86,1.1,32.2,6.3
