Stazione, Mantova - S.Agnese

Data/Ora, PM10 (SM2005) - µg/m³
2017/01/01,86
2017/01/02,98
2017/01/03,59
2017/01/04,62
2017/01/05,35
2017/01/06,12
2017/01/07,45
2017/01/08,41
2017/01/09,82
2017/01/10,57
2017/01/11,38
2017/01/12,64
2017/01/13,53
2017/01/14,38
2017/01/15,41
2017/01/16,20
2017/01/17,25
2017/01/18,26
2017/01/19,35
2017/01/20,42
2017/01/21,54
2017/01/22,59
2017/01/23,50
2017/01/24,58
2017/01/25,47
2017/01/26,55
2017/01/27,59
2017/01/28,82
2017/01/29,114
2017/01/30,167
2017/01/31,181
2017/02/01,175
2017/02/02,116
2017/02/03,55
2017/02/04,29
2017/02/05,20
2017/02/06,21
2017/02/07,24
2017/02/08,27
2017/02/09,30
2017/02/10,27
2017/02/11,47
2017/02/12,65
2017/02/13,54
2017/02/14,44
2017/02/15,56
2017/02/16,67
2017/02/17,85
2017/02/18,71
2017/02/19,59
2017/02/20,62
2017/02/21,65
2017/02/22,98
2017/02/23,71
2017/02/24,79
2017/02/25,17
2017/02/26,30
2017/02/27,39
2017/02/28,46
2017/03/01,25
2017/03/02,25
2017/03/03,39
2017/03/04,28
2017/03/05,5
2017/03/06,26
2017/03/07,23
2017/03/08,12
2017/03/09,38
2017/03/10,40
2017/03/11,14
2017/03/12,22
2017/03/13,27
2017/03/14,52
2017/03/15,73
2017/03/16,69
2017/03/17,71
2017/03/18,55
2017/03/19,100
2017/03/20,75
2017/03/21,69
2017/03/22,39
2017/03/23,36
2017/03/24,32
2017/03/25,34
2017/03/26,12
2017/03/27,16
2017/03/28,33
2017/03/29,40
2017/03/30,38
2017/03/31,36
2017/04/01,33
2017/04/02,31
2017/04/03,30
2017/04/04,31
2017/04/05,13
2017/04/06,32
2017/04/07,18
2017/04/08,27
2017/04/09,28
2017/04/10,27
2017/04/11,27
2017/04/12,20
2017/04/13,25
2017/04/14,35
2017/04/15,29
2017/04/16,17
2017/04/17,7
2017/04/18,9
2017/04/19,10
2017/04/20,11
2017/04/21,18
2017/04/22,25
2017/04/23,23
2017/04/24,21
2017/04/25,27
2017/04/26,17
2017/04/27,16
2017/04/28,8
2017/04/29,13
2017/04/30,17
2017/05/01,21
2017/05/02,11
2017/05/03,10
2017/05/04,18
2017/05/05,13
2017/05/06,-999
2017/05/07,-999
2017/05/08,-999
2017/05/09,8
2017/05/10,12
2017/05/11,15
2017/05/12,25
2017/05/13,16
2017/05/14,20
2017/05/15,9
2017/05/16,12
2017/05/17,21
2017/05/18,19
2017/05/19,20
2017/05/20,19
2017/05/21,12
2017/05/22,20
2017/05/23,27
2017/05/24,39
2017/05/25,15
2017/05/26,19
2017/05/27,19
2017/05/28,19
2017/05/29,21
2017/05/30,27
2017/05/31,29
2017/06/01,29
2017/06/02,27
2017/06/03,33
2017/06/04,18
2017/06/05,21
2017/06/06,18
2017/06/07,15
2017/06/08,9
2017/06/09,20
2017/06/10,45
2017/06/11,24
2017/06/12,21
2017/06/13,25
2017/06/14,24
2017/06/15,23
2017/06/16,36
2017/06/17,19
2017/06/18,13
2017/06/19,16
2017/06/20,26
2017/06/21,24
2017/06/22,28
2017/06/23,28
2017/06/24,30
2017/06/25,19
2017/06/26,17
2017/06/27,19
2017/06/28,15
2017/06/29,12
2017/06/30,11
2017/07/01,12
2017/07/02,13
2017/07/03,12
2017/07/04,13
2017/07/05,16
2017/07/06,24
2017/07/07,26
2017/07/08,30
2017/07/09,14
2017/07/10,20
2017/07/11,21
2017/07/12,20
2017/07/13,32
2017/07/14,10
2017/07/15,13
2017/07/16,10
2017/07/17,14
2017/07/18,25
2017/07/19,29
2017/07/20,31
2017/07/21,41
2017/07/22,27
2017/07/23,27
2017/07/24,14
2017/07/25,17
2017/07/26,13
2017/07/27,18
2017/07/28,26
2017/07/29,24
2017/07/30,9
2017/07/31,21
2017/08/01,31
2017/08/02,40
2017/08/03,39
2017/08/04,43
2017/08/05,41
2017/08/06,29
2017/08/07,11
2017/08/08,18
2017/08/09,24
2017/08/10,30
2017/08/11,16
2017/08/12,12
2017/08/13,15
2017/08/14,11
2017/08/15,11
2017/08/16,20
2017/08/17,27
2017/08/18,24
2017/08/19,25
2017/08/20,8
2017/08/21,14
2017/08/22,19
2017/08/23,23
2017/08/24,25
2017/08/25,28
2017/08/26,33
2017/08/27,28
2017/08/28,44
2017/08/29,20
2017/08/30,30
2017/08/31,28
2017/09/01,20
2017/09/02,12
2017/09/03,5
2017/09/04,14
2017/09/05,24
2017/09/06,31
2017/09/07,36
2017/09/08,7
2017/09/09,18
2017/09/10,12
2017/09/11,11
2017/09/12,16
2017/09/13,15
2017/09/14,25
2017/09/15,23
2017/09/16,11
2017/09/17,11
2017/09/18,12
2017/09/19,7
2017/09/20,9
2017/09/21,16
2017/09/22,28
2017/09/23,40
2017/09/24,31
2017/09/25,12
2017/09/26,22
2017/09/27,32
2017/09/28,37
2017/09/29,29
2017/09/30,30
2017/10/01,30
2017/10/02,38
2017/10/03,67
2017/10/04,75
2017/10/05,75
2017/10/06,42
2017/10/07,17
2017/10/08,25
2017/10/09,37
2017/10/10,61
2017/10/11,62
2017/10/12,78
2017/10/13,100
2017/10/14,96
2017/10/15,95
2017/10/16,81
2017/10/17,72
2017/10/18,87
2017/10/19,69
2017/10/20,106
2017/10/21,113
2017/10/22,69
2017/10/23,11
2017/10/24,18
2017/10/25,31
2017/10/26,44
2017/10/27,70
2017/10/28,78
2017/10/29,53
2017/10/30,43
2017/10/31,23
2017/11/01,37
2017/11/02,56
2017/11/03,86
2017/11/04,85
2017/11/05,44
2017/11/06,5
2017/11/07,7
2017/11/08,17
2017/11/09,24
2017/11/10,28
2017/11/11,31
2017/11/12,35
2017/11/13,9
2017/11/14,18
2017/11/15,27
2017/11/16,27
2017/11/17,48
2017/11/18,46
2017/11/19,55
2017/11/20,51
2017/11/21,68
2017/11/22,81
2017/11/23,98
2017/11/24,110
2017/11/25,89
2017/11/26,23
2017/11/27,18
2017/11/28,37
2017/11/29,35
2017/11/30,50
2017/12/01,24
2017/12/02,16
2017/12/03,32
2017/12/04,46
2017/12/05,72
2017/12/06,80
2017/12/07,90
2017/12/08,82
2017/12/09,43
2017/12/10,22
2017/12/11,30
2017/12/12,39
2017/12/13,33
2017/12/14,46
2017/12/15,49
2017/12/16,25
2017/12/17,38
2017/12/18,47
2017/12/19,49
2017/12/20,57
2017/12/21,80
2017/12/22,94
2017/12/23,87
2017/12/24,88
2017/12/25,76
2017/12/26,73
2017/12/27,28
2017/12/28,13
2017/12/29,17
2017/12/30,31
2017/12/31,52
